Employee_ID,Attrition_rate
EID_22713,0.18995717
EID_9658,0.18819088
EID_22203,0.18638715
EID_7652,0.18876725
EID_6516,0.18678987
EID_20283,0.18714358
EID_21014,0.18694116
EID_7693,0.18678895
EID_13232,0.17514184
EID_6515,0.18795012
EID_13639,0.18533927
EID_14669,0.18724874
EID_16537,0.18450958
EID_5782,0.18639868
EID_20157,0.18702301
EID_1855,0.1859724
EID_20748,0.18971798
EID_23179,0.1893145
EID_12838,0.1891515
EID_21656,0.18586607
EID_8844,0.1861963
EID_1536,0.18669872
EID_8822,0.18621254
EID_11398,0.18733378
EID_12965,0.18862465
EID_5204,0.17967574
EID_10030,0.18818271
EID_13227,0.18649754
EID_20607,0.18816845
EID_14070,0.18722562
EID_3755,0.18616582
EID_5459,0.18753237
EID_7697,0.18569602
EID_3935,0.18823162
EID_19046,0.18863626
EID_4040,0.18600646
EID_17730,0.18730587
EID_4995,0.18824092
EID_24653,0.15977007
EID_6978,0.18642248
EID_13775,0.19321305
EID_14608,0.18711254
EID_3148,0.18535115
EID_24868,0.1865131
EID_5521,0.18601348
EID_21155,0.18758783
EID_3840,0.18667375
EID_10646,0.18675426
EID_6711,0.1880133
EID_16247,0.18985057
EID_16789,0.1895507
EID_17967,0.18703105
EID_13270,0.18675943
EID_18462,0.17854832
EID_22248,0.189317
EID_22693,0.18618228
EID_25662,0.18647464
EID_23346,0.18895665
EID_4437,0.18586902
EID_18108,0.18305202
EID_7000,0.1866344
EID_22770,0.19320622
EID_7816,0.18606442
EID_19615,0.16944163
EID_23807,0.18615864
EID_16764,0.18845665
EID_16818,0.18254659
EID_22712,0.187154
EID_18198,0.1858728
EID_11154,0.18725957
EID_22137,0.18974274
EID_11655,0.18737212
EID_18514,0.18935935
EID_24742,0.18098564
EID_16019,0.19044846
EID_7357,0.18611333
EID_20106,0.18682754
EID_13284,0.18993932
EID_5451,0.18569858
EID_19728,0.19008557
EID_9178,0.18622619
EID_13177,0.18074974
EID_14300,0.18870562
EID_4379,0.18591137
EID_11285,0.1887946
EID_14882,0.18957831
EID_9969,0.18972024
EID_23643,0.18631631
EID_5935,0.1860815
EID_7741,0.18110014
EID_6176,0.18700373
EID_5418,0.18915221
EID_20626,0.18772104
EID_1725,0.18639362
EID_14317,0.1889484
EID_12120,0.18771966
EID_20264,0.18610308
EID_16691,0.12896264
EID_1093,0.18591613
EID_2565,0.18647693
EID_11463,0.18820557
EID_12005,0.18624787
EID_10326,0.18819553
EID_12582,0.18842977
EID_18228,0.18869086
EID_11670,0.18885346
EID_24257,0.18839617
EID_7024,0.18850662
EID_10382,0.1867293
EID_20210,0.18825465
EID_10294,0.18677393
EID_19941,0.1894748
EID_25572,0.1888407
EID_7758,0.18646598
EID_22718,0.1876652
EID_1078,0.18600008
EID_8227,0.18593147
EID_1702,0.18630812
EID_3532,0.18364951
EID_22452,0.18731456
EID_3019,0.1867746
EID_22264,0.1965246
EID_9866,0.18639007
EID_3520,0.18619289
EID_21098,0.18915004
EID_1186,0.18607591
EID_12355,0.18748574
EID_11020,0.18706656
EID_19193,0.19330639
EID_17787,0.18766868
EID_13719,0.18814935
EID_24449,0.18898377
EID_12957,0.18926185
EID_24794,0.18536225
EID_2866,0.1871618
EID_10563,0.188981
EID_22492,0.18708615
EID_4106,0.18644251
EID_6648,0.18852329
EID_7209,0.18794097
EID_9692,0.1867342
EID_22763,0.18917912
EID_12622,0.1754122
EID_9831,0.1887734
EID_5731,0.17956148
EID_1114,0.18519804
EID_25017,0.19254303
EID_22956,0.18840277
EID_5549,0.18632294
EID_12022,0.18938825
EID_8034,0.18591242
EID_20644,0.1873544
EID_20125,0.18432745
EID_21957,0.18114159
EID_8870,0.18563128
EID_2305,0.18819702
EID_3977,0.15602773
EID_14845,0.18728623
EID_6629,0.18569052
EID_14577,0.18859228
EID_24509,0.18493791
EID_1530,0.1862559
EID_21524,0.1893385
EID_6647,0.18652928
EID_19730,0.18762733
EID_4424,0.18643259
EID_7964,0.185943
EID_6289,0.18304509
EID_2899,0.18632102
EID_2827,0.18601765
EID_8801,0.18650669
EID_20454,0.19862711
EID_18988,0.18821204
EID_8405,0.1891338
EID_14497,0.1803689
EID_11769,0.18949784
EID_21353,0.1893191
EID_2221,0.18672167
EID_13218,0.18610564
EID_4576,0.18919617
EID_17470,0.18244924
EID_14817,0.1899444
EID_21845,0.18933076
EID_21987,0.18676265
EID_1168,0.18572104
EID_14315,0.18971933
EID_5043,0.18650146
EID_1967,0.18633859
EID_22274,0.18615454
EID_11091,0.18511836
EID_18421,0.19216442
EID_8316,0.18948449
EID_13308,0.18875907
EID_19481,0.18777323
EID_17732,0.18874721
EID_4504,0.18643531
EID_2539,0.18735342
EID_19529,0.18590365
EID_2279,0.18600363
EID_14508,0.18522418
EID_12241,0.18818009
EID_11530,0.17947659
EID_20147,0.18530738
EID_6154,0.18787022
EID_3523,0.18620566
EID_20453,0.1921655
EID_11929,0.18897705
EID_12840,0.18910608
EID_22320,0.18502511
EID_25383,0.1860867
EID_10731,0.18719164
EID_1017,0.18725063
EID_1819,0.18908449
EID_22849,0.18924525
EID_12290,0.18945715
EID_24238,0.18378983
EID_3105,0.18585548
EID_14242,0.19054678
EID_16569,0.18429416
EID_8094,0.18823941
EID_7824,0.1860822
EID_8978,0.18909872
EID_25314,0.18187985
EID_17810,0.19736704
EID_14856,0.18430117
EID_22144,0.18691859
EID_23603,0.1492145
EID_7211,0.18942851
EID_19340,0.2538928
EID_1501,0.18609422
