Employee_ID,Attrition_rate
EID_22713,0.20905507
EID_9658,0.2086254
EID_22203,0.209884
EID_7652,0.20865725
EID_6516,0.20917404
EID_20283,0.20619065
EID_21014,0.20889768
EID_7693,0.20916742
EID_13232,0.20707448
EID_6515,0.2094428
EID_13639,0.20827433
EID_14669,0.20866954
EID_16537,0.20822309
EID_5782,0.2087397
EID_20157,0.2092659
EID_1855,0.2105762
EID_20748,0.2099624
EID_23179,0.20833386
EID_12838,0.20759723
EID_21656,0.20613438
EID_8844,0.20973298
EID_1536,0.2095777
EID_8822,0.2099098
EID_11398,0.20877364
EID_12965,0.20818216
EID_5204,0.20805165
EID_10030,0.2093558
EID_13227,0.20708269
EID_20607,0.20882522
EID_14070,0.20874232
EID_3755,0.21005815
EID_5459,0.20973912
EID_7697,0.20845427
EID_3935,0.20859407
EID_19046,0.20652157
EID_4040,0.20932642
EID_17730,0.20865265
EID_4995,0.20899428
EID_24653,0.2077164
EID_6978,0.20891476
EID_13775,0.20838255
EID_14608,0.2070444
EID_3148,0.21011151
EID_24868,0.20730239
EID_5521,0.2093502
EID_21155,0.20794423
EID_3840,0.2087804
EID_10646,0.20910604
EID_6711,0.20957646
EID_16247,0.20658551
EID_16789,0.20677151
EID_17967,0.20738964
EID_13270,0.20818454
EID_18462,0.20522249
EID_22248,0.20792413
EID_22693,0.20933184
EID_25662,0.21036857
EID_23346,0.20685314
EID_4437,0.20929176
EID_18108,0.20767207
EID_7000,0.20876394
EID_22770,0.20733546
EID_7816,0.20888743
EID_19615,0.20667425
EID_23807,0.21027115
EID_16764,0.20518523
EID_16818,0.20758075
EID_22712,0.20848465
EID_18198,0.20632222
EID_11154,0.2091926
EID_22137,0.20725106
EID_11655,0.20814979
EID_18514,0.20731647
EID_24742,0.20688058
EID_16019,0.2080083
EID_7357,0.2081171
EID_20106,0.20609632
EID_13284,0.20639172
EID_5451,0.21038023
EID_19728,0.20713961
EID_9178,0.21046495
EID_13177,0.20865943
EID_14300,0.20837231
EID_4379,0.20970577
EID_11285,0.20817861
EID_14882,0.20752291
EID_9969,0.20787466
EID_23643,0.20870999
EID_5935,0.21096402
EID_7741,0.20930213
EID_6176,0.2089349
EID_5418,0.20922402
EID_20626,0.20918395
EID_1725,0.2098329
EID_14317,0.20825067
EID_12120,0.20705
EID_20264,0.20938298
EID_16691,0.20709974
EID_1093,0.20939189
EID_2565,0.20906776
EID_11463,0.20873487
EID_12005,0.20840456
EID_10326,0.20633818
EID_12582,0.20844781
EID_18228,0.20577468
EID_11670,0.20867634
EID_24257,0.20763224
EID_7024,0.2072655
EID_10382,0.20946023
EID_20210,0.20792991
EID_10294,0.20857376
EID_19941,0.20789705
EID_25572,0.20777199
EID_7758,0.2086568
EID_22718,0.20823586
EID_1078,0.20981039
EID_8227,0.20893306
EID_1702,0.2086178
EID_3532,0.20861575
EID_22452,0.20906453
EID_3019,0.20781408
EID_22264,0.20874074
EID_9866,0.20945038
EID_3520,0.20840272
EID_21098,0.2071508
EID_1186,0.20957406
EID_12355,0.20862971
EID_11020,0.20848118
EID_19193,0.20814739
EID_17787,0.20743512
EID_13719,0.2084356
EID_24449,0.20798106
EID_12957,0.20851098
EID_24794,0.20919055
EID_2866,0.20902006
EID_10563,0.20877165
EID_22492,0.20854808
EID_4106,0.20915951
EID_6648,0.20887561
EID_7209,0.2090476
EID_9692,0.20935002
EID_22763,0.2068081
EID_12622,0.20725864
EID_9831,0.20803335
EID_5731,0.20952934
EID_1114,0.20847946
EID_25017,0.20875552
EID_22956,0.20695743
EID_5549,0.2091998
EID_12022,0.20773803
EID_8034,0.2103735
EID_20644,0.20714456
EID_20125,0.20851043
EID_21957,0.20823269
EID_8870,0.20911312
EID_2305,0.20967004
EID_3977,0.20846047
EID_14845,0.20686485
EID_6629,0.20953625
EID_14577,0.20864002
EID_24509,0.2066955
EID_1530,0.21003775
EID_21524,0.20913237
EID_6647,0.20856252
EID_19730,0.20729944
EID_4424,0.20821977
EID_7964,0.21029377
EID_6289,0.2098208
EID_2899,0.20909278
EID_2827,0.20961052
EID_8801,0.21000198
EID_20454,0.2079153
EID_18988,0.20697936
EID_8405,0.20878914
EID_14497,0.2079792
EID_11769,0.2072545
EID_21353,0.2070735
EID_2221,0.20865099
EID_13218,0.2072869
EID_4576,0.20886773
EID_17470,0.20687392
EID_14817,0.20816888
EID_21845,0.20744732
EID_21987,0.20762318
EID_1168,0.20937073
EID_14315,0.20787796
EID_5043,0.20948246
EID_1967,0.20985925
EID_22274,0.21022534
EID_11091,0.20897809
EID_18421,0.20807989
EID_8316,0.20848846
EID_13308,0.20830761
EID_19481,0.20778757
EID_17732,0.20529455
EID_4504,0.2093785
EID_2539,0.20895228
EID_19529,0.20908454
EID_2279,0.20963027
EID_14508,0.20830396
EID_12241,0.20778972
EID_11530,0.20844774
EID_20147,0.20823842
EID_6154,0.20896329
EID_3523,0.21012303
EID_20453,0.20737424
EID_11929,0.20817205
EID_12840,0.20745802
EID_22320,0.21018869
EID_25383,0.20955533
EID_10731,0.20942599
EID_1017,0.20858097
EID_1819,0.20881774
EID_22849,0.20740604
EID_12290,0.2084639
EID_24238,0.20766804
EID_3105,0.21009213
EID_14242,0.2075998
EID_16569,0.20693009
EID_8094,0.21004912
EID_7824,0.21002021
EID_8978,0.20766184
EID_25314,0.20784888
EID_17810,0.20815319
EID_14856,0.2089079
EID_22144,0.20848939
EID_23603,0.20645207
EID_7211,0.20800784
EID_19340,0.2065888
EID_1501,0.21041837
EID_22111,0.20653886
EID_16147,0.20727263
EID_16746,0.20646955
EID_20777,0.20841497
EID_12999,0.20869789
EID_21663,0.20730518
EID_11862,0.20829925
EID_17683,0.20643535
EID_19819,0.20740902
EID_21562,0.20817304
EID_24390,0.20677945
EID_14444,0.208183
EID_3261,0.20939533
EID_7752,0.20920923
EID_3033,0.21010226
EID_22433,0.20869818
EID_23727,0.20837787
EID_24107,0.20958385
EID_22537,0.20862472
EID_13645,0.20683724
EID_16021,0.20555934
EID_19800,0.2102398
EID_1944,0.21015143
EID_15868,0.20630705
EID_22188,0.2084142
EID_13833,0.20939772
EID_15028,0.20875493
EID_24861,0.20877522
EID_13033,0.20832029
EID_23673,0.20885754
EID_13265,0.20784578
EID_23411,0.20906648
EID_3761,0.20914635
EID_7299,0.20835379
EID_2379,0.20916516
EID_18863,0.20793569
EID_12115,0.20848334
EID_23879,0.20848669
EID_16586,0.2087613
EID_19003,0.20618999
EID_11107,0.20863709
EID_15416,0.20754
EID_19214,0.20721483
EID_5135,0.20970163
EID_22464,0.20835654
EID_22759,0.20897496
EID_17833,0.20754184
EID_17627,0.20641571
EID_25730,0.20884192
EID_2377,0.20812014
EID_18085,0.20595029
EID_14096,0.20880684
EID_8384,0.20909187
EID_17105,0.20603617
EID_9929,0.20856065
EID_13267,0.20828047
EID_12954,0.20740008
EID_4464,0.20900977
EID_11464,0.20821142
EID_19308,0.20594728
EID_17530,0.20730537
EID_6981,0.20861712
EID_19951,0.20957299
EID_1100,0.20888884
EID_25145,0.20798078
EID_15614,0.20836434
EID_2961,0.20941645
EID_1742,0.20968145
EID_2843,0.21086556
EID_9549,0.21015239
EID_12832,0.20809054
EID_17914,0.20682904
EID_22832,0.21041217
EID_5755,0.20742533
EID_1141,0.21033117
EID_18954,0.20652202
EID_10824,0.20935996
EID_24478,0.20603177
EID_14916,0.20767888
EID_4434,0.20892824
EID_23650,0.2083048
EID_16556,0.20730463
EID_24656,0.20871541
EID_25965,0.20695071
EID_9279,0.20958358
EID_13802,0.20721191
EID_2748,0.2098517
EID_17346,0.20898256
EID_1171,0.20912787
EID_1552,0.20954809
EID_20674,0.20864962
EID_2475,0.20896113
EID_16714,0.20697239
EID_7857,0.20896353
EID_3294,0.20980617
EID_2280,0.20890749
EID_10203,0.20733413
EID_22162,0.20711972
EID_10438,0.20825654
EID_12898,0.20790207
EID_4358,0.20950852
EID_6179,0.20882297
EID_2538,0.2087141
EID_13110,0.20714253
EID_24585,0.20816016
EID_1006,0.20969346
EID_11632,0.2081362
EID_21011,0.20861086
EID_16869,0.20766284
EID_20564,0.2079041
EID_12996,0.20866711
EID_1503,0.20931146
EID_23053,0.2081353
EID_22049,0.20860389
EID_4346,0.21027984
EID_1887,0.20908023
EID_16849,0.20706582
EID_10071,0.20915556
EID_11265,0.20733255
EID_12611,0.20670292
EID_25542,0.20732403
EID_11582,0.20800388
EID_19550,0.2095701
EID_5351,0.20899032
EID_3305,0.20848848
EID_18846,0.20627877
EID_24764,0.20626524
EID_2191,0.210026
EID_6314,0.21000896
EID_23248,0.20754947
EID_4570,0.20827532
EID_16415,0.20658386
EID_11002,0.20791775
EID_20498,0.21000022
EID_7846,0.20865029
EID_24121,0.2085515
EID_7536,0.20936498
EID_2015,0.20935501
EID_7934,0.20851284
EID_20903,0.20954552
EID_17535,0.20734894
EID_19760,0.20720558
EID_9550,0.20970036
EID_4261,0.20966141
EID_19753,0.2077961
EID_13542,0.20826793
EID_24283,0.20987278
EID_7552,0.20956597
EID_11577,0.20926791
EID_3228,0.20950991
EID_17468,0.20612408
EID_15815,0.20754895
EID_2093,0.2087767
EID_21356,0.2094006
EID_12357,0.20796092
EID_18495,0.20707713
EID_5098,0.210715
EID_12691,0.20711121
EID_13240,0.20747545
EID_19312,0.20610043
EID_23914,0.20895872
EID_23175,0.20861213
EID_15413,0.20720106
EID_4785,0.20993195
EID_25933,0.20831352
EID_22705,0.20730455
EID_19350,0.205288
EID_5369,0.20850766
EID_20410,0.207405
EID_12557,0.20760573
EID_17678,0.20783812
EID_1342,0.20945303
EID_12230,0.20779777
EID_1311,0.20919982
EID_5860,0.20869192
EID_4259,0.20967515
EID_10209,0.20971507
EID_2300,0.20947477
EID_17408,0.20837367
EID_1883,0.20896864
EID_1053,0.21043235
EID_23610,0.20970377
EID_17585,0.20685732
EID_20845,0.2084307
EID_15683,0.20802271
EID_11976,0.20896205
EID_12031,0.20818892
EID_1711,0.20990211
EID_6239,0.20829509
EID_25541,0.20993978
EID_9308,0.2080311
EID_18168,0.20610964
EID_11934,0.208249
EID_23472,0.20715469
EID_13731,0.20786989
EID_16069,0.20873706
EID_18276,0.20723489
EID_6141,0.2090911
EID_12061,0.20905012
EID_9450,0.20724678
EID_21730,0.20592101
EID_19506,0.20769686
EID_13552,0.20621294
EID_9945,0.20886262
EID_1924,0.20948023
EID_18453,0.20662877
EID_20225,0.20822248
EID_18673,0.20826173
EID_11420,0.20901124
EID_16631,0.20711374
EID_21237,0.20733729
EID_5015,0.20757902
EID_20179,0.20664656
EID_12073,0.20787805
EID_21147,0.20696598
EID_6714,0.20805383
EID_10645,0.2085863
EID_18298,0.20635246
EID_2640,0.20990872
EID_2318,0.21027124
EID_25226,0.2071726
EID_24099,0.20932163
EID_20938,0.2086274
EID_8377,0.20944573
EID_7023,0.20898245
EID_11385,0.2085607
EID_15016,0.2070362
EID_25794,0.207833
EID_11494,0.20836042
EID_2425,0.20902994
EID_9847,0.20895812
EID_3570,0.2099094
EID_13573,0.20585325
EID_13780,0.20753469
EID_2949,0.20972303
EID_19834,0.20901346
EID_11384,0.21011789
EID_23154,0.20926684
EID_9337,0.20895897
EID_3653,0.20936221
EID_4850,0.21026221
EID_16283,0.20719336
EID_5107,0.2092591
EID_25156,0.20908323
EID_17223,0.20693834
EID_14695,0.20872968
EID_11374,0.20874092
EID_13672,0.20667675
EID_6782,0.209727
EID_25074,0.20786045
EID_21087,0.20748115
EID_13017,0.20764709
EID_9947,0.20834357
EID_21221,0.20873158
EID_21639,0.20789896
EID_20333,0.20784889
EID_2970,0.20965272
EID_7624,0.20738277
EID_15741,0.20812234
EID_1312,0.21052326
EID_19575,0.20840234
EID_21047,0.2104097
EID_11969,0.20888895
